,gameId,summonerName,champion,position,result,toxic_score
4,4438988683,Moo,Darius,TOP,1,4.250729829498433
8,4438988683,Beals,Gnar,TOP,0,3.8532917966179356
14,4439457855,Moo,Aatrox,TOP,0,2.3925542379154847
17,4439457855,Beals,Gnar,TOP,1,4.378308172448702
20,4439408609,Andy,Yone,TOP,0,2.3771044384549054
29,4439408609,Beals,Gnar,TOP,1,7.839213197779003
31,4448659747,Beals,Gnar,TOP,1,5.196548041799255
36,4448659747,Nick B.,Mordekaiser,TOP,0,4.598241796207406
44,4448570106,Beals,Gnar,TOP,1,6.540036793566096
46,4448570106,Moo,Darius,TOP,0,3.0623535335483076
51,4455711721,Beals,Gnar,TOP,0,4.532785676397127
57,4455711721,Rob,Renekton,TOP,1,5.27621432376725
61,4455812037,Beals,Jayce,TOP,0,0.9449968489455295
65,4455812037,Rob,DrMundo,TOP,1,7.210277395825786
72,4459118495,Desp,Sejuani,TOP,0,3.3021078698645763
78,4459118495,Moo,Aatrox,TOP,1,5.649298822020125
80,4458958951,Kori,Vayne,TOP,0,6.604630997277629
85,4458958951,Moo,Darius,TOP,1,4.494202433923431
91,4466078171,Rob,Ornn,TOP,0,5.386914904654885
98,4466078171,Jackson,Gangplank,TOP,1,4.017629930792205
103,4466088473,Desp,Gragas,TOP,1,3.0600416843794163
109,4466088473,Jackson,Nasus,TOP,0,7.0871822696161
110,4465928586,Anthony,Sejuani,TOP,0,5.303807755181017
117,4465928586,Jackson,Kled,TOP,1,3.6046475411261403
123,4478377191,Nick D.,Shen,TOP,1,4.59128988279257
127,4478377191,Anthony,Vladimir,TOP,0,6.0854040576554596
131,4478377380,Moo,Darius,TOP,0,3.5739290245565716
135,4478377380,Nick D.,Shen,TOP,1,7.479466125201427
142,4491811575,Moo,Aatrox,TOP,0,3.4959051051865
145,4491811575,Nick D.,Sejuani,TOP,1,5.7240606752298895
151,4491943942,Rob,Shen,TOP,0,4.613079694250351
157,4491943942,Nick D.,Singed,TOP,1,3.3406965372386734
162,4498152360,Kori,KSante,TOP,1,5.466641966371856
165,4498152360,Luke,Singed,TOP,0,5.309653617327049
173,4498234766,Moo,Yone,TOP,0,2.755982157384056
175,4498234766,Kori,Gangplank,TOP,1,6.388967986950101
182,4499796039,Beals,Gnar,TOP,1,4.856386918240013
185,4499796039,Rob,Gangplank,TOP,0,2.1665532490187465
192,4499841033,Beals,Karma,TOP,0,3.0921006530780937
199,4499841033,Rob,Jax,TOP,1,4.905884683552808
203,4499891862,Beals,Jayce,TOP,1,2.8526819703764046
207,4499891862,Rob,Gangplank,TOP,0,5.744398339527575
211,4503054772,Moo,Aatrox,TOP,1,6.528956174940087
217,4503054772,Kori,Gangplank,TOP,0,2.1105841857756356
220,4503091285,Kori,KSante,TOP,1,8.265162990264535
226,4503091285,Moo,Garen,TOP,0,1.2955169139824547
233,4503143936,Moo,Fiora,TOP,0,3.8131968767801547
236,4503143936,Kori,Akali,TOP,1,4.6032697449905156
244,4503828531,Beals,Gnar,TOP,0,2.4935043322233215
247,4503828531,Moo,Fiora,TOP,1,5.98490716359983
251,4503893875,Kori,Yone,TOP,0,3.225025773698123
